Date,Equity
2021-08-06,197229.33997206902
2021-08-09,197161.87780176368
2021-08-10,196500.57265374262
2021-08-11,196851.43037807735
2021-08-12,200940.7015479451
2021-08-13,201224.18085389296
2021-08-16,203950.3057991925
2021-08-17,202695.15767345575
2021-08-18,197526.28239890645
2021-08-19,197985.11728409308
2021-08-20,199996.00084589465
2021-08-23,202047.42033622236
2021-08-24,201925.9591165013
2021-08-25,200225.46016444714
2021-08-26,199118.7832521291
2021-08-27,200549.34977104343
2021-08-30,206649.46262675352
2021-08-31,204908.5114980917
2021-09-01,205826.22314442412
2021-09-02,207364.78776216987
2021-09-03,208242.00535593534
2021-09-07,211467.58486686603
2021-09-08,209335.17727140454
2021-09-09,207931.62074618787
2021-09-10,201048.69964677645
2021-09-13,201831.46601451858
2021-09-14,199901.52868189156
2021-09-15,201129.66681393067
2021-09-16,200805.75626935478
2021-09-17,197121.38374919674
2021-09-20,192910.65135960793
2021-09-21,193571.956507629
2021-09-22,196837.96725718773
2021-09-23,198160.57755322984
2021-09-24,198282.05971093048
2021-09-27,196190.1461680359
2021-09-28,191520.59983124014
2021-09-29,192762.24296012803
2021-09-30,190967.25090609127
2021-10-01,192519.25770674704
2021-10-04,187782.2282616663
2021-10-05,190440.8910366605
2021-10-06,191642.04011298157
2021-10-07,193382.99124164335
2021-10-08,192856.65231019224
2021-10-11,192735.19109047114
2021-10-12,190980.75590294015
2021-10-13,190170.97954150036
2021-10-14,194017.3492099056
2021-10-15,195474.86290857877
2021-10-18,197782.66795923823
2021-10-19,200765.30409274716
2021-10-20,201440.05142367817
2021-10-21,201736.99385051563
2021-10-22,200670.8319287441
2021-10-25,200603.28600652033
2021-10-26,201521.06046679153
2021-10-27,200886.72343650894
2021-10-28,205907.23218753753
2021-10-29,202168.86061796374
2021-11-01,201035.21558790724
2021-11-02,202465.76116884197
2021-11-03,204449.6556749255
2021-11-04,203734.37241546836
2021-11-05,204464.24944671412
2021-11-08,203328.88750232957
2021-11-09,203829.03302128788
2021-11-10,199922.99011099245
2021-11-11,199855.38137482986
2021-11-12,202720.7229465602
2021-11-15,202734.24888138866
2021-11-16,204085.79546525262
2021-11-17,207451.21974200246
2021-11-18,213370.99377932653
2021-11-19,216993.2223760003
2021-11-22,217628.43880142656
2021-11-23,218155.55243812327
2021-11-24,218871.88259656093
2021-11-26,211938.3334624511
2021-11-29,216574.23246601262
2021-11-30,223413.1419322826
2021-12-01,222696.8117738449
2021-12-02,221331.71831717293
2021-12-03,218736.74887615416
2021-12-06,223440.13098800066
2021-12-07,231360.23584540258
2021-12-08,236631.3931503496
2021-12-09,235928.58892674037
2021-12-10,242537.70406678403
2021-12-13,237523.41389569978
2021-12-14,235617.7436814414
2021-12-15,242335.0034861738
2021-12-16,232819.98990789402
2021-12-17,231306.2577339664
2021-12-20,229427.57657542612
2021-12-21,233806.6503210841
2021-12-22,237388.23829933375
2021-12-23,238253.2699889659
2021-12-27,243727.1069365435
2021-12-28,242321.47755134542
2021-12-29,242443.10627490334
2021-12-30,240848.2603679643
2021-12-31,239996.79648911982
2022-01-03,245997.68425945533
2022-01-04,242875.62211971948
2022-01-05,236415.08288299254
2022-01-06,232468.6087340691
2022-01-07,232698.36118433616
2022-01-10,232725.39211601342
2022-01-11,236631.39315034964
2022-01-12,237239.5995820782
2022-01-13,232725.39211601342
2022-01-14,233914.75310981367
2022-01-18,229495.14343562955
2022-01-19,224670.06978628627
2022-01-20,222345.4096620403
2022-01-21,219507.11995996683
2022-01-24,218439.36675174488
2022-01-25,215952.52103743525
2022-01-26,215830.8923138773
2022-01-27,215195.6130745122
2022-01-28,230211.47359406724
2022-01-31,236225.9291751904
2022-02-01,235996.1557869437
2022-02-02,237658.56855408617
2022-02-03,233685.0006595466
2022-02-04,233292.5601077052
2022-02-07,232304.6643537181
2022-02-08,236594.54230623494
2022-02-09,238556.82881736037
2022-02-10,232927.12954956153
2022-02-11,228217.7591755464
2022-02-14,228542.5700532456
2022-02-15,233833.8487565984
2022-02-16,233509.0588168788
2022-02-17,228542.57005324555
2022-02-18,226404.34169945234
2022-02-22,222371.56119857397
2022-02-23,216620.10757933953
2022-02-24,220233.37472073993
2022-02-25,223088.7916901349
2022-02-28,223454.1803723194
2022-03-01,220855.86085456295
2022-03-02,225402.8781346775
2022-03-03,224956.31290554276
2022-03-04,220815.26211209802
2022-03-07,215578.1080860386
2022-03-08,213060.98605321205
2022-03-09,220517.54498001497
2022-03-10,214522.49890599085
2022-03-11,209393.552358559
2022-03-14,203831.5665168208
2022-03-15,209880.73726813833
2022-03-16,215970.52769990044
2022-03-17,217364.3899405574
2022-03-18,221911.4281586516
2022-03-21,223806.04311967557
2022-03-22,228461.33069235654
2022-03-23,230342.39878057243
2022-03-24,235566.08968574225
2022-03-25,236445.6732712038
2022-03-28,237636.60461347483
2022-03-29,242183.6218935894
2022-03-30,240573.19812982008
2022-03-31,236296.82517415204
2022-04-01,235890.85868748222
2022-04-04,241479.8963988773
2022-04-05,236905.80631112625
2022-04-06,232534.7308736795
2022-04-07,232954.20235719817
2022-04-08,230180.00381071272
2022-04-11,224306.7330261038
2022-04-12,226891.50567105217
2022-04-13,230599.47529423138
2022-04-14,223684.22595430116
2022-04-18,223386.4878842385
2022-04-19,226539.68479965537
2022-04-20,226309.55546575534
2022-04-21,225213.43129516108
2022-04-22,218947.71995871075
2022-04-25,220422.8424982364
2022-04-26,212194.82371268107
2022-04-27,211883.6225217288
2022-04-28,221451.33699468843
2022-04-29,213345.13537450755
2022-05-02,213764.69060994464
2022-05-03,215821.63772688952
2022-05-04,224672.10077030867
2022-05-05,212154.2877841549
2022-05-06,213157.1541935636
2022-05-09,206082.6296427356
2022-05-10,209403.05820130228
2022-05-11,198547.32297461721
2022-05-12,193207.57284846588
2022-05-13,199374.05909954157
2022-05-16,197246.2369216148
2022-05-17,202260.75741047476
2022-05-18,190849.39101886333
2022-05-19,186146.61610842554
2022-05-20,186471.86668369654
2022-05-23,193952.94398462347
2022-05-24,190225.98361393748
2022-05-25,190442.8173307848
2022-05-26,194860.94040841656
2022-05-27,202802.8626405727
2022-05-31,201718.65218037687
2022-06-01,201542.48001993334
2022-06-02,204930.6429425403
2022-06-03,197029.44508072673
2022-06-06,198059.40523575153
2022-06-07,201542.48001993328
2022-06-08,200526.02486175735
2022-06-09,193315.96876890998
2022-06-10,185848.43834079106
2022-06-13,178733.2731715389
2022-06-14,179925.9004901584
2022-06-15,183544.42306444113
2022-06-16,176266.61166957385
2022-06-17,178299.58479986462
2022-06-21,184140.82047566934
2022-06-22,183436.02714399708
2022-06-23,187393.45185625693
2022-06-24,191987.83084625067
2022-06-27,191987.83084625067
2022-06-28,186268.57983965726
2022-06-29,188694.45415734086
2022-06-30,185292.76529990547
2022-07-01,188287.94328320117
2022-07-05,191852.27836625167
2022-07-06,193695.4487113724
2022-07-07,198344.03613057797
2022-07-08,199279.16817594634
2022-07-11,196338.2404978217
2022-07-12,197679.94623126867
2022-07-13,197178.5025575745
2022-07-14,201217.18756870303
2022-07-15,203521.18190707333
2022-07-18,199319.8506703297
2022-07-19,204646.05392367297
2022-07-20,207410.7675653948
2022-07-21,210541.45615273024
2022-07-22,208833.81734962892
2022-07-25,207288.80383416306
2022-07-26,205459.20129983002
2022-07-27,212493.10617021352
2022-07-28,213252.00324119956
2022-07-29,220245.22561719967
2022-08-01,218889.97301094464
2022-08-02,216857.0417566131
2022-08-03,225151.32924763596
2022-08-04,224717.59900000246
2022-08-05,224405.47653794734
2022-08-08,223754.0331783229
