Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity
Netherlands,2010,3208.0,125.0,107.9,90.8,47.1,57.3,52.59
Netherlands,2011,3210.0,122.3,107.0,102.8,45.5,61.6,52.57
Netherlands,2012,3224.0,124.1,112.1,92.6,45.4,53.8,52.52
Netherlands,2013,3227.0,125.4,111.9,107.3,44.5,58.5,52.43
Netherlands,2014,3213.0,126.7,108.5,106.6,43.8,57.1,52.34
Netherlands,2015,3240.0,128.0,107.6,112.2,45.5,63.5,52.25
Netherlands,2016,3241.0,130.2,107.6,110.2,44.6,66.3,52.16
Netherlands,2017,3270.0,126.6,102.4,94.0,45.7,64.2,52.07
Netherlands,2018,3294.0,139.4,103.9,100.0,37.6,66.6,51.97
Netherlands,2019,3477.0,134.3,107.3,100.7,47.4,87.4,51.86
Netherlands,2020,3521.0,140.4,112.6,107.6,47.3,79.1,51.76
New Zealand,2010,3100.0,116.6,87.6,60.2,58.2,113.4,65.24
New Zealand,2011,3181.0,132.5,96.3,59.0,57.1,124.7,65.63
New Zealand,2012,3147.0,119.6,90.8,61.1,56.7,126.2,65.99
New Zealand,2013,3204.0,124.6,93.3,70.4,56.7,115.8,66.31
New Zealand,2014,3148.0,114.3,91.7,66.8,57.9,124.6,66.59
New Zealand,2015,3154.0,113.5,91.5,65.7,57.9,125.7,66.85
New Zealand,2016,3150.0,114.0,96.0,73.1,53.5,122.6,67.15
New Zealand,2017,3162.0,113.9,92.2,67.0,55.6,117.1,67.46
New Zealand,2018,3217.0,118.4,98.3,63.1,55.8,132.6,67.79
New Zealand,2019,3196.0,117.0,97.4,61.9,61.1,110.6,68.13
New Zealand,2020,3214.0,122.5,93.4,54.4,62.1,90.3,68.46
Norway,2010,3491.0,143.9,117.6,80.6,46.4,68.4,56.72
Norway,2011,3485.0,144.9,116.2,80.3,46.1,68.4,57.0
Norway,2012,3507.0,143.6,116.4,80.4,45.6,69.1,57.25
Norway,2013,3480.0,140.7,114.8,80.8,45.5,72.2,57.5
Norway,2014,3466.0,143.4,111.2,81.4,44.8,74.5,57.75
Norway,2015,3423.0,142.1,112.5,79.6,44.5,71.9,58.02
Norway,2016,3407.0,142.0,112.3,80.2,43.4,75.1,58.29
Norway,2017,3377.0,138.5,113.8,80.1,43.0,72.6,58.56
Norway,2018,3414.0,137.8,116.1,78.2,42.7,71.4,58.83
Norway,2019,3440.0,138.2,116.6,76.7,44.7,75.7,59.09
Norway,2020,3446.0,135.9,118.4,74.3,53.9,76.6,59.36
Poland,2010,3438.0,121.0,103.4,47.5,44.9,110.1,59.52
Poland,2011,3471.0,124.1,102.9,56.3,45.6,126.8,60.35
Poland,2012,3452.0,123.1,101.8,52.7,45.8,116.1,61.17
Poland,2013,3404.0,118.9,101.1,54.9,45.5,106.3,62.0
Poland,2014,3414.0,119.2,100.4,50.1,44.8,120.7,62.85
